,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS
0,By Year,2017-18,70,20,50,0.286,48.1,38.2,85.2,0.448,11.1,30.5,0.366,16.5,20.7,0.796,9.3,31.9,41.2,23.8,15.7,8.0,4.4,5.4,20.0,20.8,104.0,-5.2,20,21,16,21,21,3,1,13,1,1,5,17,20,1,18,3,13,5,16,9,18,19,12,5,1,19,210,2017-18,0
1,By Year,2016-17,82,43,39,0.524,48.5,38.1,84.4,0.451,8.9,26.1,0.341,18.1,24.9,0.728,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,103.2,-0.9,1,9,11,11,5,4,3,12,5,4,16,11,7,20,15,1,2,6,17,5,11,18,4,4,2,12,210,2016-17,1
2,By Year,2015-16,82,48,34,0.585,48.4,38.6,84.4,0.458,9.9,28.4,0.35,15.6,20.0,0.783,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,102.8,3.6,1,5,7,7,13,2,2,7,3,2,15,20,21,3,22,2,9,2,10,1,2,13,7,13,3,4,210,2015-16,1
3,By Year,2014-15,82,60,22,0.732,48.1,38.1,81.7,0.466,10.0,26.2,0.38,16.5,21.2,0.778,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,102.5,5.4,1,1,2,1,18,5,6,2,2,3,1,18,17,6,20,4,17,1,5,2,14,10,1,8,4,2,210,2014-15,1
4,By Year,2013-14,82,38,44,0.463,48.4,37.3,81.6,0.458,9.4,25.8,0.363,17.0,21.7,0.781,8.7,31.3,40.0,24.9,15.3,8.3,4.0,4.3,19.2,20.0,101.0,-0.5,1,11,12,12,13,7,7,6,4,5,7,15,16,4,21,8,21,3,12,4,22,4,8,7,6,10,210,2013-14,1
5,By Year,2012-13,82,44,38,0.537,48.4,37.6,81.0,0.464,8.6,23.2,0.371,14.1,19.7,0.715,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18.0,18.8,98.0,0.4,1,7,9,9,9,6,11,3,6,6,2,22,22,21,19,5,16,4,7,8,17,3,3,11,9,9,210,2012-13,1
6,By Year,2011-12,66,40,26,0.606,49.0,36.8,81.0,0.454,7.5,20.2,0.37,15.5,21.0,0.74,9.9,31.3,41.2,22.4,14.0,8.1,4.6,4.7,17.8,19.1,96.6,3.4,21,10,3,6,2,8,10,9,8,8,3,21,19,17,16,7,14,7,4,7,15,8,2,10,11,6,210,2011-12,1
7,By Year,2010-11,82,44,38,0.537,48.1,36.2,78.4,0.462,6.1,17.4,0.352,16.4,21.1,0.779,9.3,30.0,39.3,22.0,13.6,6.1,4.2,4.2,19.0,18.5,95.0,-0.8,1,7,9,9,18,11,18,4,11,11,14,19,18,5,17,12,22,9,3,22,21,2,6,12,13,11,210,2010-11,1
8,By Year,2009-10,82,53,29,0.646,48.4,38.8,82.9,0.468,6.4,17.7,0.36,17.7,23.3,0.759,11.8,29.9,41.7,21.8,12.0,7.2,5.0,4.4,19.9,19.3,101.7,4.7,1,3,5,3,12,1,5,1,10,10,8,13,14,13,11,15,11,10,1,18,9,6,11,9,5,3,210,2009-10,1
9,By Year,2008-09,82,47,35,0.573,48.1,36.0,78.7,0.458,7.3,19.9,0.366,18.7,25.4,0.737,10.6,29.4,40.0,20.2,12.8,7.4,4.6,4.3,19.6,20.5,98.1,1.6,1,6,8,8,22,12,16,5,9,9,6,7,6,18,14,18,20,12,2,16,16,4,9,6,8,8,210,2008-09,1
10,By Year,2007-08,82,37,45,0.451,48.4,36.3,79.9,0.454,4.7,13.1,0.356,21.0,27.2,0.772,12.3,29.9,42.2,22.0,14.9,7.3,5.5,5.1,20.4,21.9,98.2,-1.8,1,12,13,13,9,10,13,10,16,16,11,2,3,8,8,14,8,8,9,17,5,15,14,3,7,13,210,2007-08,1
11,By Year,2006-07,82,30,52,0.366,48.5,34.5,77.7,0.444,4.2,12.7,0.329,20.5,26.9,0.761,11.9,28.2,40.1,19.2,15.9,7.4,5.4,5.1,24.0,22.6,93.7,-4.8,1,16,17,16,8,19,19,16,17,18,19,4,5,11,10,21,19,17,18,15,6,15,20,2,18,17,210,2006-07,0
12,By Year,2005-06,82,26,56,0.317,48.5,35.9,79.2,0.454,5.2,14.1,0.367,20.2,26.9,0.75,13.0,27.2,40.3,19.8,15.7,7.2,4.8,5.1,25.0,22.6,97.2,-4.8,1,19,20,19,5,13,15,11,12,14,4,5,4,15,5,22,18,15,15,19,12,17,22,1,10,17,210,2005-06,0
13,By Year,2004-05,82,13,69,0.159,48.4,35.9,81.4,0.441,3.7,11.9,0.312,17.3,24.3,0.711,13.4,28.5,41.9,19.7,16.1,7.7,4.2,5.9,24.5,0.0,92.7,-9.7,1,22,22,22,9,14,8,17,21,20,21,14,9,22,4,20,10,16,19,12,20,20,21,21,20,22,210,2004-05,0
14,By Year,2003-04,82,28,54,0.341,48.5,34.5,79.6,0.433,5.1,15.2,0.335,18.7,24.1,0.776,12.1,30.6,42.7,20.1,16.5,7.6,5.0,5.1,22.3,0.0,92.8,-4.6,1,17,18,17,4,20,14,20,14,12,17,8,11,7,9,10,6,14,20,13,10,14,18,20,19,16,210,2003-04,0
15,By Year,2002-03,82,35,47,0.427,48.6,34.9,78.5,0.444,4.9,13.9,0.352,19.4,24.5,0.793,11.4,31.2,42.6,20.5,16.7,7.5,5.8,5.0,21.7,0.1,94.1,-3.6,1,13,14,14,3,18,17,15,15,15,13,6,8,2,13,9,7,11,21,14,3,12,17,18,16,14,210,2002-03,0
16,By Year,2001-02,82,33,49,0.402,48.2,35.4,80.6,0.439,5.2,14.6,0.354,18.1,23.7,0.765,11.6,29.8,41.5,20.2,15.5,8.1,4.3,6.2,20.8,0.1,94.0,-4.2,1,14,15,15,17,15,12,19,13,13,12,10,13,9,12,16,12,13,14,6,19,21,15,17,17,15,210,2001-02,0
17,By Year,2000-01,82,25,57,0.305,48.1,35.1,81.3,0.431,4.1,11.4,0.357,16.8,22.1,0.759,12.5,30.4,42.9,19.0,16.7,7.7,4.7,6.3,22.7,0.0,91.0,-5.2,1,20,21,20,18,17,9,21,19,21,10,16,15,12,6,11,5,19,22,11,13,22,19,21,21,20,210,2000-01,0
18,By Year,1999-00,82,28,54,0.341,48.4,36.6,83.0,0.441,3.1,9.9,0.317,18.0,24.2,0.743,14.0,31.3,45.3,18.9,15.4,6.1,5.6,4.9,21.0,1.6,94.3,-5.4,1,17,18,17,13,9,4,18,22,22,20,12,10,16,1,6,1,21,13,21,4,10,16,14,15,21,210,1999-00,0
19,By Year,1998-99,50,31,19,0.62,48.3,30.8,75.2,0.409,3.9,12.9,0.306,20.8,28.4,0.731,13.5,30.0,43.5,15.6,14.9,6.9,5.2,4.9,19.7,0.2,86.3,2.9,22,15,1,4,16,22,22,22,20,17,22,3,1,19,2,13,3,22,8,20,8,9,10,15,22,7,210,1998-99,1
