,Unnamed: 0,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS,PLAYOFFS,TEAM_ID,TEAM_NAME,EASTERN
0,0,By Year,2017-18,82,24,58,0.293,3941.0,102.4,108.2,-5.8,0.622,1.53,17.7,0.21100000000000002,0.762,0.48700000000000004,0.154,0.512,0.547,100.62,0.46799999999999997,1,21,21,21,19,12,20,20,5,9,6,20,1,18,7,5,4,1,15,210,2017-18,0,1610612737,ATL,True
1,1,By Year,2016-17,82,43,39,0.524,3976.0,102.3,103.1,-0.8,0.621,1.5,17.5,0.23600000000000002,0.7609999999999999,0.503,0.157,0.504,0.541,99.83,0.506,1,9,11,11,4,14,11,11,6,10,8,16,2,7,10,8,10,2,10,210,2016-17,1,1610612737,ATL,True
2,2,By Year,2015-16,82,48,34,0.585,3966.0,103.0,98.8,4.1,0.6629999999999999,1.71,19.1,0.191,0.746,0.475,0.15,0.516,0.552,99.4,0.528,1,5,7,7,12,10,3,5,3,3,2,22,3,22,6,3,3,3,4,210,2015-16,1,1610612737,ATL,True
3,3,By Year,2014-15,82,60,22,0.732,3946.0,106.2,100.7,5.6,0.6759999999999999,1.81,19.7,0.214,0.7340000000000001,0.48200000000000004,0.147,0.527,0.563,96.25,0.54,1,1,2,1,16,3,5,2,1,2,1,19,8,20,3,1,1,5,1,210,2014-15,1,1610612737,ATL,True
4,4,By Year,2013-14,82,38,44,0.46299999999999997,3966.0,103.4,104.1,-0.7,0.667,1.63,19.0,0.21,0.7440000000000001,0.479,0.156,0.515,0.5539999999999999,96.87,0.502,1,11,12,12,12,8,14,10,2,5,4,21,5,21,9,4,2,4,11,210,2013-14,1,1610612737,ATL,True
5,5,By Year,2012-13,82,44,38,0.537,3971.0,102.7,101.8,0.9,0.6509999999999999,1.65,19.0,0.222,0.736,0.483,0.156,0.517,0.546,94.72,0.509,1,7,9,9,8,11,7,9,4,4,3,18,7,19,8,2,6,6,8,210,2012-13,1,1610612737,ATL,True
6,6,By Year,2011-12,66,40,26,0.606,3233.0,102.4,98.6,3.8,0.61,1.61,17.7,0.239,0.7440000000000001,0.493,0.14800000000000002,0.5,0.535,92.51,0.526,21,10,3,6,21,13,2,6,7,7,7,15,6,14,4,10,11,15,5,210,2011-12,1,1610612737,ATL,True
7,7,By Year,2010-11,82,44,38,0.537,3946.0,103.2,104.6,-1.4,0.607,1.61,17.8,0.23399999999999999,0.746,0.49200000000000005,0.14800000000000002,0.501,0.542,91.56,0.493,1,7,9,9,16,9,16,12,8,6,5,17,4,15,5,9,9,19,13,210,2010-11,1,1610612737,ATL,True
8,8,By Year,2009-10,82,53,29,0.6459999999999999,3971.0,108.9,104.0,4.9,0.562,1.83,17.2,0.282,0.727,0.502,0.128,0.506,0.545,92.5,0.523,1,3,5,3,11,1,13,3,13,1,9,11,9,8,1,6,7,16,7,210,2009-10,1,1610612737,ATL,True
9,9,By Year,2008-09,82,47,35,0.573,3941.0,106.6,104.6,2.0,0.561,1.58,16.4,0.26,0.716,0.489,0.139,0.504,0.546,92.04,0.507,1,6,8,8,19,2,15,8,14,8,11,14,13,17,2,7,5,18,9,210,2008-09,1,1610612737,ATL,True
10,10,By Year,2007-08,82,37,45,0.451,3971.0,104.0,105.9,-2.0,0.606,1.48,17.1,0.297,0.7170000000000001,0.508,0.158,0.483,0.535,93.62,0.498,1,12,13,13,8,6,19,13,9,11,10,7,12,4,11,13,12,12,12,210,2007-08,1,1610612737,ATL,True
11,11,By Year,2006-07,82,30,52,0.366,3976.0,100.1,105.5,-5.3,0.556,1.2,15.4,0.292,0.7090000000000001,0.498,0.17,0.47100000000000003,0.523,92.5,0.466,1,16,16,16,7,15,18,18,15,20,19,8,15,12,19,16,16,17,17,210,2006-07,0,1610612737,ATL,True
12,12,By Year,2005-06,82,26,56,0.317,3976.0,103.8,108.3,-4.5,0.552,1.27,15.7,0.314,0.695,0.499,0.16699999999999998,0.486,0.534,92.99,0.462,1,19,19,19,4,7,21,15,17,15,15,5,20,10,17,12,13,14,19,210,2005-06,0,1610612737,ATL,True
13,13,By Year,2004-05,82,13,69,0.159,3971.0,97.9,108.4,-10.5,0.5489999999999999,1.22,15.4,0.307,0.721,0.504,0.17,0.46399999999999997,0.504,93.8,0.42200000000000004,1,22,22,22,8,20,22,22,18,17,18,6,10,6,18,19,19,10,22,210,2004-05,0,1610612737,ATL,True
14,14,By Year,2003-04,82,28,54,0.341,3981.0,98.2,103.1,-4.9,0.583,1.22,15.9,0.28600000000000003,0.705,0.498,0.174,0.465,0.514,93.49,0.466,1,17,17,17,3,19,10,17,11,19,14,10,18,11,20,18,18,13,16,210,2003-04,0,1610612737,ATL,True
15,15,By Year,2002-03,82,35,47,0.42700000000000005,3981.0,99.6,102.8,-3.2,0.5870000000000001,1.23,16.2,0.27899999999999997,0.7040000000000001,0.5,0.17600000000000002,0.47600000000000003,0.527,93.67,0.483,1,13,14,14,2,16,9,14,10,16,12,12,19,9,22,15,15,11,14,210,2002-03,0,1610612737,ATL,True
16,16,By Year,2001-02,82,33,49,0.402,3955.0,99.1,103.7,-4.6,0.57,1.3,15.9,0.275,0.7090000000000001,0.491,0.16399999999999998,0.47100000000000003,0.517,94.38,0.465,1,14,15,15,15,18,12,16,12,12,13,13,16,16,14,17,17,9,18,210,2001-02,0,1610612737,ATL,True
17,17,By Year,2000-01,82,25,57,0.305,3946.0,95.6,101.9,-6.3,0.542,1.14,15.0,0.289,0.708,0.49700000000000005,0.175,0.456,0.5,94.54,0.452,1,20,20,20,16,22,8,21,20,21,20,9,17,13,21,21,21,7,21,210,2000-01,0,1610612737,ATL,True
18,18,By Year,1999-00,82,28,54,0.341,3966.0,99.2,104.8,-5.7,0.516,1.22,14.7,0.317,0.71,0.513,0.162,0.46,0.503,94.41,0.462,1,17,17,17,12,17,17,19,21,18,21,3,14,3,12,20,20,8,20,210,1999-00,0,1610612737,ATL,True
19,19,By Year,1998-99,50,31,19,0.62,2415.0,96.9,93.9,3.0,0.507,1.05,13.2,0.33,0.721,0.527,0.16699999999999998,0.436,0.49200000000000005,88.4,0.525,22,15,1,4,22,21,1,7,22,22,22,2,11,1,16,22,22,21,6,210,1998-99,1,1610612737,ATL,True
20,20,By Year,1997-98,82,50,32,0.61,3976.0,105.1,100.8,4.3,0.5429999999999999,1.29,15.5,0.33899999999999997,0.691,0.521,0.162,0.48100000000000004,0.5329999999999999,90.49,0.532,1,4,6,5,4,5,6,4,19,13,17,1,22,2,13,14,14,20,3,210,1997-98,1,1610612737,ATL,True
21,21,By Year,1996-97,82,56,26,0.6829999999999999,4076.0,105.4,98.9,6.5,0.5539999999999999,1.27,15.6,0.315,0.6920000000000001,0.508,0.16699999999999998,0.498,0.542,87.04,0.539,1,2,3,2,1,4,4,1,16,14,16,4,21,5,15,11,8,22,2,210,1996-97,1,1610612737,ATL,True
22,0,By Year,2017-18,82,55,27,0.6709999999999999,3961.0,105.2,101.5,3.7,0.586,1.6,17.2,0.215,0.784,0.503,0.142,0.518,0.552,98.24,0.518,1,4,4,4,11,5,13,5,16,5,10,18,1,4,4,6,6,4,7,210,2017-18,1,1610612738,BOS,True
23,1,By Year,2016-17,82,53,29,0.6459999999999999,3951.0,108.6,105.5,3.1,0.653,1.9,18.9,0.212,0.753,0.485,0.133,0.525,0.5670000000000001,99.32,0.514,1,5,6,5,15,1,21,8,2,1,3,19,3,14,1,2,3,2,8,210,2016-17,1,1610612738,BOS,True
24,2,By Year,2015-16,82,48,34,0.585,3956.0,103.9,100.9,3.0,0.616,1.76,17.6,0.251,0.746,0.494,0.135,0.488,0.531,101.15,0.52,1,8,10,9,12,8,11,9,6,3,9,13,6,11,2,12,12,1,6,210,2015-16,1,1610612738,BOS,True
25,3,By Year,2014-15,82,40,42,0.488,3976.0,101.7,102.1,-0.4,0.629,1.77,18.1,0.247,0.75,0.495,0.139,0.489,0.523,98.4,0.498,1,12,14,13,2,11,14,14,5,2,5,14,4,8,3,11,14,3,12,210,2014-15,1,1610612738,BOS,True
26,4,By Year,2013-14,82,25,57,0.305,3946.0,99.7,105.2,-5.5,0.5760000000000001,1.37,16.3,0.27399999999999997,0.742,0.501,0.159,0.47700000000000004,0.517,95.88,0.461,1,19,20,20,17,17,20,21,20,15,18,6,8,5,11,15,19,8,19,210,2013-14,0,1610612738,BOS,True
27,5,By Year,2012-13,81,41,40,0.506,3968.0,101.1,100.4,0.7,0.614,1.56,18.0,0.201,0.733,0.475,0.153,0.503,0.542,93.98,0.507,20,11,13,12,7,12,9,11,8,8,6,21,12,20,7,8,9,16,9,210,2012-13,1,1610612738,BOS,True
28,6,By Year,2011-12,66,39,27,0.591,3188.0,98.9,95.5,3.4,0.665,1.59,19.0,0.19699999999999998,0.7240000000000001,0.473,0.16,0.496,0.535,92.65,0.535,21,13,4,8,21,21,1,6,1,6,1,22,17,22,12,10,10,21,5,210,2011-12,1,1610612738,BOS,True
29,7,By Year,2010-11,82,56,26,0.6829999999999999,3956.0,104.0,97.8,6.2,0.635,1.61,18.9,0.21100000000000002,0.747,0.495,0.157,0.519,0.561,92.51,0.5579999999999999,1,3,3,3,12,7,3,3,3,4,2,20,5,9,8,5,5,22,3,210,2010-11,1,1610612738,BOS,True
30,8,By Year,2009-10,82,50,32,0.61,3956.0,105.4,101.1,4.3,0.635,1.58,18.6,0.228,0.738,0.491,0.158,0.522,0.564,93.84,0.54,1,6,8,6,12,4,12,4,4,7,4,17,10,13,10,3,4,17,4,210,2009-10,1,1610612738,BOS,True
31,9,By Year,2008-09,82,62,20,0.7559999999999999,3976.0,108.1,99.4,8.7,0.606,1.45,17.9,0.27899999999999997,0.7559999999999999,0.528,0.16699999999999998,0.528,0.5710000000000001,92.75,0.562,1,2,2,2,3,2,6,2,10,11,7,5,2,1,17,1,1,20,2,210,2008-09,1,1610612738,BOS,True
32,10,By Year,2007-08,82,66,16,0.805,3951.0,107.6,96.2,11.5,0.614,1.47,17.8,0.266,0.7440000000000001,0.519,0.163,0.522,0.569,93.3,0.581,1,1,1,1,15,3,2,1,9,10,8,9,7,2,13,4,2,19,1,210,2007-08,1,1610612738,BOS,True
33,11,By Year,2006-07,82,24,58,0.293,3971.0,100.2,104.5,-4.4,0.57,1.21,15.7,0.27,0.738,0.499,0.172,0.479,0.53,94.46,0.45899999999999996,1,20,21,21,6,15,19,20,21,22,21,8,11,6,21,14,13,14,20,210,2006-07,0,1610612738,BOS,True
34,12,By Year,2005-06,82,33,49,0.402,3976.0,102.5,104.0,-1.5,0.581,1.26,16.6,0.255,0.728,0.49700000000000005,0.17300000000000001,0.504,0.551,94.66,0.485,1,18,19,18,5,9,18,16,19,21,13,10,14,7,22,7,8,13,14,210,2005-06,0,1610612738,BOS,True
35,13,By Year,2004-05,82,45,37,0.5489999999999999,3976.0,104.8,103.3,1.5,0.594,1.4,17.0,0.272,0.701,0.491,0.16399999999999998,0.501,0.551,95.92,0.505,1,9,11,10,4,6,17,10,13,12,11,7,18,12,14,9,7,7,10,210,2004-05,1,1610612738,BOS,True
36,14,By Year,2003-04,82,36,46,0.439,3941.0,99.9,100.2,-0.3,0.5920000000000001,1.26,16.3,0.252,0.695,0.478,0.17,0.486,0.532,95.79,0.49,1,14,15,14,20,16,8,13,14,20,17,12,19,18,20,13,11,9,13,210,2003-04,1,1610612738,BOS,True
37,15,By Year,2002-03,82,44,38,0.537,3966.0,98.9,98.5,0.4,0.583,1.37,15.6,0.23600000000000002,0.725,0.474,0.149,0.47,0.514,93.37,0.48,1,10,12,11,8,20,5,12,18,14,22,16,16,21,6,20,20,18,15,210,2002-03,1,1610612738,BOS,True
38,16,By Year,2001-02,82,49,33,0.598,3966.0,101.1,98.0,3.1,0.604,1.55,16.5,0.24100000000000002,0.7290000000000001,0.479,0.14300000000000002,0.47600000000000003,0.52,94.99,0.5,1,7,9,7,8,13,4,7,11,9,14,15,13,17,5,16,16,12,11,210,2001-02,1,1610612738,BOS,True
39,17,By Year,2000-01,82,36,46,0.439,3966.0,99.0,100.9,-1.9,0.616,1.33,16.4,0.253,0.727,0.48,0.16399999999999998,0.473,0.521,95.01,0.46799999999999997,1,14,15,14,8,19,10,17,7,19,16,11,15,16,15,19,15,11,18,210,2000-01,0,1610612738,BOS,True
40,18,By Year,1999-00,82,35,47,0.42700000000000005,3946.0,102.0,103.0,-1.0,0.57,1.38,16.1,0.304,0.738,0.51,0.158,0.474,0.52,97.06,0.47600000000000003,1,17,18,17,17,10,16,15,22,13,20,3,9,3,9,17,18,5,16,210,1999-00,0,1610612738,BOS,True
41,19,By Year,1998-99,50,19,31,0.38,2430.0,97.6,99.7,-2.1,0.591,1.33,16.5,0.306,0.6940000000000001,0.494,0.16899999999999998,0.469,0.501,94.05,0.473,22,21,7,19,22,22,7,18,15,18,15,2,20,10,19,21,22,15,17,210,1998-99,0,1610612738,BOS,True
42,20,By Year,1997-98,82,36,46,0.439,3946.0,99.1,102.6,-3.5,0.603,1.37,16.6,0.32799999999999996,0.6679999999999999,0.484,0.168,0.46399999999999997,0.504,96.11,0.457,1,14,15,14,17,18,15,19,12,16,12,1,22,15,18,22,21,6,21,210,1997-98,0,1610612738,BOS,True
43,21,By Year,1996-97,82,15,67,0.183,4111.0,100.8,108.8,-8.0,0.584,1.34,16.2,0.294,0.685,0.475,0.16399999999999998,0.474,0.52,95.24,0.434,1,22,22,22,1,14,22,22,17,17,19,4,21,19,16,18,17,10,22,210,1996-97,0,1610612738,BOS,True
44,0,By Year,2017-18,82,50,32,0.61,3946.0,110.6,109.5,1.0,0.579,1.7,17.7,0.201,0.773,0.491,0.13699999999999998,0.547,0.584,100.06,0.502,1,6,7,6,19,2,22,10,14,1,6,22,2,20,1,1,1,1,11,210,2017-18,1,1610612739,CLE,True
45,1,By Year,2016-17,82,51,31,0.622,3976.0,110.9,108.0,2.9,0.5670000000000001,1.66,17.2,0.21899999999999997,0.758,0.49700000000000005,0.13699999999999998,0.547,0.58,98.38,0.51,1,5,6,5,3,1,20,7,18,3,10,21,6,16,2,2,2,3,8,210,2016-17,1,1610612739,CLE,True
46,2,By Year,2015-16,82,57,25,0.695,3971.0,108.1,102.3,5.8,0.5870000000000001,1.67,17.5,0.251,0.785,0.52,0.141,0.524,0.5579999999999999,95.48,0.528,1,3,3,3,6,5,10,3,13,2,8,18,1,5,4,4,5,7,3,210,2015-16,1,1610612739,CLE,True
47,3,By Year,2014-15,82,53,29,0.6459999999999999,3956.0,107.7,104.1,3.7,0.5870000000000001,1.55,17.2,0.268,0.747,0.511,0.149,0.52,0.557,94.78,0.514,1,4,5,4,15,6,15,5,12,8,11,16,9,10,10,5,6,9,6,210,2014-15,1,1610612739,CLE,True
48,4,By Year,2013-14,82,33,49,0.402,3986.0,101.3,104.8,-3.5,0.5720000000000001,1.49,16.3,0.272,0.758,0.509,0.146,0.479,0.518,95.68,0.469,1,14,16,15,2,13,16,17,17,9,17,15,7,12,5,11,14,5,17,210,2013-14,0,1610612739,CLE,True
49,5,By Year,2012-13,82,24,58,0.293,3946.0,100.8,106.9,-6.1,0.5660000000000001,1.47,16.1,0.281,0.726,0.493,0.146,0.473,0.514,94.95,0.45,1,18,20,20,20,14,19,19,19,12,18,12,15,19,6,14,18,8,19,210,2012-13,0,1610612739,CLE,True
50,6,By Year,2011-12,66,21,45,0.318,3193.0,98.1,106.0,-7.9,0.579,1.29,15.6,0.289,0.722,0.49700000000000005,0.162,0.46299999999999997,0.505,93.96,0.439,21,20,14,19,21,18,18,20,15,20,21,10,16,17,16,19,20,10,21,210,2011-12,0,1610612739,CLE,True
51,7,By Year,2010-11,82,19,63,0.23199999999999998,3951.0,99.5,109.1,-9.6,0.596,1.48,16.5,0.242,0.733,0.48100000000000004,0.14800000000000002,0.47200000000000003,0.518,95.52,0.441,1,21,21,21,18,15,21,21,9,11,14,20,11,21,8,15,16,6,20,210,2010-11,0,1610612739,CLE,True
52,8,By Year,2009-10,82,61,21,0.7440000000000001,3956.0,108.8,101.5,7.3,0.5920000000000001,1.61,17.8,0.251,0.772,0.524,0.14800000000000002,0.532,0.57,93.54,0.552,1,2,2,2,16,4,8,2,10,5,4,19,3,2,7,3,3,13,2,210,2009-10,1,1610612739,CLE,True
53,9,By Year,2008-09,82,66,16,0.805,3956.0,109.7,99.4,10.3,0.55,1.59,16.6,0.27699999999999997,0.746,0.52,0.139,0.519,0.56,91.22,0.5589999999999999,1,1,1,1,17,3,5,1,21,6,13,14,10,4,3,6,4,20,1,210,2008-09,1,1610612739,CLE,True
54,10,By Year,2007-08,82,45,37,0.5489999999999999,3971.0,103.2,103.7,-0.5,0.5579999999999999,1.43,15.8,0.304,0.759,0.524,0.15,0.48,0.52,92.52,0.49,1,10,11,10,10,8,14,12,20,15,20,4,4,1,12,10,13,18,14,210,2007-08,1,1610612739,CLE,True
55,11,By Year,2006-07,82,50,32,0.61,3976.0,102.6,98.9,3.7,0.574,1.45,16.3,0.297,0.758,0.522,0.152,0.484,0.522,93.2,0.52,1,6,7,6,3,10,3,4,16,13,15,7,5,3,13,9,11,14,5,210,2006-07,1,1610612739,CLE,True
