,Unnamed: 0,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS,PLAYOFFS,TEAM_ID,TEAM_NAME,EASTERN
66,0,By Year,2017-18,82,48,34,0.585,3991.0,107.7,105.6,2.1,0.627,1.8,19.2,0.2,0.767,0.494,0.14400000000000002,0.541,0.573,102.73,0.525,1,3,3,3,1,2,12,3,2,2,1,15,3,12,8,1,1,1,2,210,2017-18,1,1610612740,NOP,False
67,1,By Year,2016-17,82,34,48,0.415,3981.0,103.3,104.9,-1.6,0.5820000000000001,1.77,17.2,0.185,0.768,0.475,0.127,0.504,0.539,100.09,0.493,1,11,12,11,3,8,10,8,7,3,5,16,2,16,1,4,5,2,7,210,2016-17,0,1610612740,NOP,False
68,2,By Year,2015-16,82,30,52,0.366,3956.0,103.2,107.3,-4.1,0.5770000000000001,1.65,16.9,0.212,0.7879999999999999,0.49,0.135,0.498,0.537,98.91,0.47200000000000003,1,13,14,13,12,9,13,14,9,6,7,14,1,14,3,7,8,3,14,210,2015-16,0,1610612740,NOP,False
69,3,By Year,2014-15,82,45,37,0.5489999999999999,3956.0,105.4,104.7,0.7,0.581,1.66,17.2,0.271,0.7509999999999999,0.511,0.141,0.501,0.537,93.7,0.508,1,6,6,6,12,4,9,6,8,4,4,7,6,4,5,6,6,6,5,210,2014-15,1,1610612740,NOP,False
70,4,By Year,2013-14,82,34,48,0.415,3971.0,104.7,107.3,-2.6,0.563,1.55,16.6,0.26899999999999996,0.738,0.5,0.145,0.495,0.537,94.51,0.483,1,11,12,11,6,6,14,11,13,9,12,9,10,9,9,8,7,5,12,210,2013-14,0,1610612740,NOP,False
71,5,By Year,2012-13,82,27,55,0.32899999999999996,3956.0,102.7,107.6,-5.0,0.5820000000000001,1.44,16.8,0.292,0.7440000000000001,0.514,0.159,0.489,0.528,90.86,0.46399999999999997,1,14,15,14,12,10,16,15,6,11,10,3,9,2,13,10,10,13,15,210,2012-13,0,1610612740,NOP,False
72,6,By Year,2011-12,66,21,45,0.318,3188.0,98.3,102.3,-4.0,0.595,1.34,16.9,0.275,0.731,0.507,0.17,0.47600000000000003,0.517,90.67,0.48200000000000004,16,15,10,15,16,15,3,13,5,15,9,6,13,5,16,12,12,14,13,210,2011-12,0,1610612740,NOP,False
73,7,By Year,2010-11,82,46,36,0.561,3966.0,103.8,102.5,1.4,0.574,1.58,16.9,0.251,0.762,0.505,0.14300000000000002,0.493,0.537,90.89,0.507,1,5,5,5,7,7,4,5,11,7,8,11,4,7,7,9,9,12,6,210,2010-11,1,1610612740,NOP,False
74,8,By Year,2009-10,82,37,45,0.451,3966.0,105.1,107.3,-2.3,0.575,1.66,17.4,0.248,0.738,0.489,0.141,0.506,0.5429999999999999,94.83,0.484,1,10,10,10,7,5,15,10,10,5,2,12,11,15,6,3,4,4,11,210,2009-10,0,1610612740,NOP,False
75,9,By Year,2008-09,82,49,33,0.598,3951.0,106.2,104.1,2.0,0.5529999999999999,1.56,16.4,0.24600000000000002,0.7490000000000001,0.498,0.139,0.501,0.5479999999999999,90.04,0.515,1,2,2,2,15,3,7,4,14,8,14,13,7,10,4,5,3,16,4,210,2008-09,1,1610612740,NOP,False
