,Unnamed: 0,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS,TEAM_ID,TEAM_NAME,EASTERN
0,0,By Year,2017-18,82,24,58,0.293,48.1,38.2,85.5,0.446,11.2,31.0,0.36,15.8,20.2,0.785,9.1,32.8,41.9,23.7,15.6,7.8,4.2,5.5,19.6,20.3,103.4,-5.5,1,21,21,21,21,3,1,13,1,1,7,19,20,2,19,3,10,5,15,10,19,19,9,6,1,21,210,2017-18,0,1610612737,ATL,True
1,1,By Year,2016-17,82,43,39,0.524,48.5,38.1,84.4,0.451,8.9,26.1,0.341,18.1,24.9,0.728,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,103.2,-0.9,1,9,11,11,5,4,3,12,5,4,16,11,7,20,15,1,2,6,17,5,11,18,4,4,2,12,210,2016-17,1,1610612737,ATL,True
2,2,By Year,2015-16,82,48,34,0.585,48.4,38.6,84.4,0.45799999999999996,9.9,28.4,0.35,15.6,20.0,0.7829999999999999,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,102.8,3.6,1,5,7,7,13,2,2,7,3,2,15,20,21,3,22,2,9,2,10,1,2,13,7,13,3,4,210,2015-16,1,1610612737,ATL,True
3,3,By Year,2014-15,82,60,22,0.732,48.1,38.1,81.7,0.466,10.0,26.2,0.38,16.5,21.2,0.778,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,102.5,5.4,1,1,2,1,18,5,6,2,2,3,1,17,17,6,20,4,17,1,5,2,14,10,1,8,4,2,210,2014-15,1,1610612737,ATL,True
4,4,By Year,2013-14,82,38,44,0.46299999999999997,48.4,37.3,81.6,0.45799999999999996,9.4,25.8,0.363,17.0,21.7,0.7809999999999999,8.7,31.3,40.0,24.9,15.3,8.3,4.0,4.3,19.2,20.0,101.0,-0.5,1,11,12,12,13,7,7,6,4,5,6,15,16,4,21,8,21,3,12,4,22,4,8,7,6,10,210,2013-14,1,1610612737,ATL,True
5,5,By Year,2012-13,82,44,38,0.537,48.4,37.6,81.0,0.46399999999999997,8.6,23.2,0.371,14.1,19.7,0.715,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18.0,18.8,98.0,0.4,1,7,9,9,9,6,11,3,6,6,2,22,22,21,18,5,16,4,7,8,17,3,3,11,9,9,210,2012-13,1,1610612737,ATL,True
6,6,By Year,2011-12,66,40,26,0.606,49.0,36.8,81.0,0.45399999999999996,7.5,20.2,0.37,15.5,21.0,0.74,9.9,31.3,41.2,22.4,14.0,8.1,4.6,4.7,17.8,19.1,96.6,3.4,21,10,3,6,2,8,10,9,8,8,3,21,19,17,16,7,14,7,4,7,15,8,2,10,11,6,210,2011-12,1,1610612737,ATL,True
7,7,By Year,2010-11,82,44,38,0.537,48.1,36.2,78.4,0.462,6.1,17.4,0.35200000000000004,16.4,21.1,0.779,9.3,30.0,39.3,22.0,13.6,6.1,4.2,4.2,19.0,18.5,95.0,-0.8,1,7,9,9,18,11,18,4,11,11,14,18,18,5,17,12,22,9,3,22,21,2,6,12,13,11,210,2010-11,1,1610612737,ATL,True
8,8,By Year,2009-10,82,53,29,0.6459999999999999,48.4,38.8,82.9,0.46799999999999997,6.4,17.7,0.36,17.7,23.3,0.759,11.8,29.9,41.7,21.8,12.0,7.2,5.0,4.4,19.9,19.3,101.7,4.7,1,3,5,3,12,1,5,1,10,10,8,13,14,13,11,15,12,10,1,18,9,6,12,9,5,3,210,2009-10,1,1610612737,ATL,True
9,9,By Year,2008-09,82,47,35,0.573,48.1,36.0,78.7,0.45799999999999996,7.3,19.9,0.366,18.7,25.4,0.737,10.6,29.4,40.0,20.2,12.8,7.4,4.6,4.3,19.6,20.5,98.1,1.6,1,6,8,8,21,12,16,5,9,9,5,7,6,18,14,18,20,12,2,16,16,4,10,5,8,8,210,2008-09,1,1610612737,ATL,True
