,Unnamed: 0,PLAYER,POSITION,SEASON,GP,MIN,PTS,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,HEIGHT,LOSES,NUM,OREB,PF,PLAYER_ID,PLUS_MINUS,REB,STL,TOV,TeamID,WEIGHT,WINS,AGE
0,0,Josh Childress,G-F,2007,76.0,29.947368421052627,11.81578947368421,1.5394736842105263,0.5657894736842105,2.6184210526315788,3,0.7894736842105263,0.2894736842105263,0.19298684210526315,7.5394736842105265,4.302631578947368,0.5495657894736843,3.6184210526315774,2.9210526315789487,0.6458815789473684,6-8,43.0,1.0,2.2894736842105257,1.6973684210526316,2735,-1.6578947368421053,4.907894736842105,0.9342105263157896,1.2894736842105263,1610612737,210,33.0,25.0
1,1,Joe Johnson,G,2007,82.0,40.75609756097561,21.695121951219512,5.780487804878049,0.2195121951219512,3.463414634146341,6,5.414634146341463,2.0609756097560976,0.35874390243902443,18.256097560975608,7.890243902439026,0.4259146341463413,4.621951219512195,3.8536585365853657,0.8025975609756096,6-7,45.0,2.0,1.0121951219512195,2.048780487804878,2207,-0.24390243902439024,4.475609756097562,1.024390243902439,2.7195121951219514,1610612737,235,37.0,27.0
2,2,Acie Law,G,2007,56.0,15.428571428571427,4.196428571428571,2.017857142857143,0.0,0.8035714285714286,R,0.6071428571428571,0.125,0.08332142857142857,4.232142857142857,1.6964285714285714,0.31939285714285715,0.8571428571428571,0.6785714285714286,0.2592321428571429,6-3,31.0,4.0,0.21428571428571427,1.3035714285714286,201151,-2.142857142857143,1.0178571428571428,0.5178571428571429,1.0,1610612737,195,25.0,23.0
3,3,Josh Smith,F,2007,81.0,35.50617283950617,17.209876543209873,3.3580246913580245,2.802469135802469,6.246913580246915,3,1.2222222222222223,0.308641975308642,0.1615061728395062,13.987654320987652,6.395061728395063,0.4546666666666668,5.790123456790122,4.111111111111111,0.6969012345679013,6-9,44.0,5.0,1.9876543209876545,3.320987654320988,2746,-0.41975308641975306,8.234567901234566,1.5185185185185186,3.0246913580246915,1610612737,235,37.0,22.0
5,5,Mike Bibby,G,2007,48.0,32.6875,13.895833333333336,6.041666666666668,0.08333333333333333,3.0,9,5.166666666666667,1.9375,0.349,12.5625,5.166666666666667,0.3946458333333332,2.083333333333333,1.625,0.5647083333333334,6-1,24.0,10.0,0.3333333333333333,2.020833333333333,1710,-0.4791666666666667,3.333333333333333,1.125,2.4791666666666665,1610612737,190,24.0,30.0
6,6,Al Horford,C-F,2007,81.0,31.33333333333333,10.135802469135802,1.530864197530864,0.9382716049382716,6.62962962962963,R,0.061728395061728385,0.0,0.0,8.246913580246913,4.111111111111111,0.5057530864197531,2.617283950617284,1.9135802469135803,0.5540246913580247,6-10,44.0,15.0,3.061728395061728,3.2962962962962963,201143,-1.4074074074074074,9.691358024691358,0.7407407407407407,1.6913580246913582,1610612737,245,37.0,22.0
8,8,Marvin Williams,F,2007,80.0,34.55,14.8125,1.7125,0.4125,4.225,2,0.125,0.0125,0.0125,11.475,5.3,0.4605625,5.1125,4.2,0.7294624999999999,6-9,45.0,24.0,1.4875,2.8125,101107,-2.075,5.7125,1.0125,1.5875,1610612737,230,35.0,22.0
9,9,Zaza Pachulia,C,2007,62.0,15.225806451612904,5.193548387096773,0.5806451612903226,0.20967741935483872,2.5645161290322585,4,0.04838709677419355,0.0,0.0,3.9516129032258083,1.7258064516129032,0.41067741935483865,2.467741935483871,1.7419354838709675,0.4137903225806452,6-11,34.0,27.0,1.435483870967742,2.2580645161290325,2585,-0.7580645161290323,4.0,0.3870967741935484,1.1129032258064515,1610612737,280,28.0,24.0
13,13,Kevin Garnett,F,2007,71.0,32.83098591549296,18.83098591549296,3.436619718309859,1.2535211267605637,7.323943661971831,12,0.15492957746478872,0.0,0.0,13.943661971830986,7.521126760563378,0.5448732394366198,4.732394366197184,3.788732394366197,0.7178169014084506,6-11,14.0,5.0,1.9014084507042253,2.295774647887324,708,10.380281690140846,9.225352112676056,1.4084507042253518,1.943661971830985,1610612738,220,57.0,32.0
14,14,Rajon Rondo,G,2007,77.0,29.961038961038962,10.571428571428571,5.103896103896104,0.16883116883116886,3.168831168831169,1,0.24675324675324675,0.06493506493506493,0.05194805194805195,9.25974025974026,4.558441558441558,0.4751168831168832,2.272727272727273,1.3896103896103895,0.4010779220779221,6-1,15.0,9.0,1.0129870129870129,2.4285714285714284,200765,7.909090909090909,4.181818181818182,1.675324675324675,1.9090909090909087,1610612738,171,62.0,22.0
