,AGE,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,HEIGHT,LOSES,MIN,NUM,OREB,PF,PLAYER,PLAYER_ID,PLUS_MINUS,POSITION,PTS,REB,SEASON,STL,TOV,TeamID,Unnamed: 0,WEIGHT,WINS,WL
0,32.0,3.652173913043478,0.8985507246376812,6.115942028985508,10,3.4927536231884058,1.0869565217391304,0.2800724637681159,14.08695652173913,6.231884057971015,0.4435072463768117,5.869565217391305,4.507246376811594,0.7444927536231883,69.0,6-8,29.0,33.95652173913044,4,1.608695652173913,2.6956521739130435,Paul Millsap,200794,1.9710144927536235,F,18.057971014492754,7.72463768115942,2016,1.3043478260869563,2.289855072463768,1610612737,0,246,40.0,
1,28.0,2.643835616438356,0.0136986301369863,1.547945205479452,R,1.5068493150684932,0.3561643835616438,0.1518219178082192,5.315068493150685,1.9863013698630136,0.3501643835616438,1.2739726027397258,1.0273972602739727,0.3910958904109589,73.0,6-3,36.0,17.08219178082192,5,0.136986301369863,1.5342465753424657,Malcolm Delaney,1627098,0.410958904109589,G,5.356164383561644,1.6849315068493151,2016,0.5342465753424658,1.3013698630136987,1610612737,1,190,37.0,
2,30.0,1.7195121951219512,0.2804878048780488,4.463414634146342,8,4.902439024390244,1.7317073170731707,0.3575975609756095,10.853658536585368,4.682926829268292,0.4342317073170732,2.524390243902439,1.9634146341463412,0.6294390243902438,82.0,6-10,47.0,26.13414634146341,7,1.4024390243902438,2.573170731707317,Ersan Ilyasova,101141,-0.35365853658536583,F,13.060975609756095,5.865853658536586,2016,0.7073170731707317,1.4146341463414631,1610612737,2,235,35.0,
3,31.0,1.4054054054054057,1.2432432432432432,8.702702702702705,12,0.027027027027027032,0.0,0.0,8.283783783783784,5.243243243243243,0.6352162162162163,5.72972972972973,3.0540540540540535,0.5147702702702704,74.0,6-11,37.0,29.66216216216216,8,4.0,2.7432432432432434,Dwight Howard,2730,-1.5135135135135136,C,13.54054054054054,12.702702702702705,2016,0.8648648648648649,2.2972972972972974,1610612737,3,265,37.0,
4,25.0,2.3037974683544302,0.18987341772151897,2.392405063291139,3,5.278481012658228,1.8860759493670889,0.33218987341772155,11.544303797468356,5.253164556962025,0.4478101265822786,2.7088607594936707,2.075949367088608,0.4976455696202532,79.0,6-6,37.0,27.21518987341772,10,0.4430379746835443,1.3037974683544304,Tim Hardaway Jr.,203501,2.0,G,14.468354430379748,2.835443037974684,2016,0.6962025316455697,1.3417721518987342,1610612737,4,205,42.0,
5,23.0,0.9322033898305084,0.4576271186440678,2.23728813559322,R,1.7288135593220342,0.559322033898305,0.17116949152542374,4.830508474576272,1.9322033898305084,0.355,1.5932203389830508,1.2542372881355932,0.4124237288135593,59.0,6-8,31.0,16.64406779661017,12,0.42372881355932196,1.6271186440677967,Taurean Prince,1627752,-0.4915254237288136,F,5.677966101694915,2.6610169491525424,2016,0.7288135593220338,1.0338983050847457,1610612737,5,220,28.0,
6,35.0,2.1463414634146343,0.024390243902439025,1.4390243902439024,11,1.5609756097560976,0.4878048780487805,0.20039024390243906,3.268292682926829,1.3414634146341464,0.3169512195121951,0.2926829268292683,0.2682926829268293,0.14146341463414633,41.0,6-3,26.0,13.146341463414636,13,0.36585365853658536,0.8780487804878049,Jose Calderon,101181,-2.5365853658536586,G,3.4390243902439024,1.804878048780488,2016,0.2682926829268293,1.0,1610612737,6,200,15.0,
7,23.0,6.316455696202532,0.20253164556962025,2.607594936708861,3,3.7215189873417716,1.2658227848101269,0.30799999999999994,15.367088607594935,6.936708860759492,0.4496708860759492,3.2278481012658227,2.759493670886076,0.7594303797468355,79.0,6-1,37.0,31.49367088607595,17,0.5316455696202531,1.8860759493670889,Dennis Schroder,203471,-0.9620253164556962,G,17.898734177215193,3.1392405063291138,2016,0.9367088607594936,3.2658227848101267,1610612737,7,172,42.0,
8,27.0,2.4246575342465757,0.7123287671232876,2.5479452054794516,4,3.6438356164383565,1.2602739726027397,0.2982602739726028,9.876712328767123,4.0410958904109595,0.3907123287671232,2.3013698630136985,1.6301369863013702,0.4805479452054795,73.0,6-5,34.0,26.89041095890411,24,0.6164383561643836,2.2602739726027403,Kent Bazemore,203145,-1.452054794520548,F-G,10.972602739726028,3.1643835616438367,2016,1.2465753424657535,1.7123287671232876,1610612737,8,201,39.0,
9,33.0,1.7258064516129032,0.5,3.4838709677419355,10,1.935483870967742,0.6612903225806451,0.261,6.370967741935483,2.806451612903226,0.396032258064516,1.2096774193548387,0.8870967741935484,0.3051129032258065,62.0,6-7,30.0,25.725806451612907,25,0.8709677419354839,1.564516129032258,Thabo Sefolosha,200757,-1.0483870967741935,F,7.161290322580645,4.354838709677419,2016,1.5483870967741935,0.935483870967742,1610612737,9,220,32.0,
11,25.0,1.3571428571428572,0.5857142857142857,2.342857142857143,3,1.5714285714285714,0.6571428571428571,0.3140285714285714,4.814285714285714,2.4285714285714284,0.4380571428571429,0.9142857142857144,0.7,0.2554857142857143,70.0,6-11,34.0,17.67142857142857,31,1.0857142857142856,1.3857142857142857,Mike Muscala,203488,-1.1285714285714286,F-C,6.2142857142857135,3.4285714285714284,2016,0.42857142857142855,0.7857142857142857,1610612737,11,240,36.0,
