,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,PPG
EFG_PCT,0.598,0.361,0.412,0.613,0.738,0.509,103.6
EFG_PCT,0.589,0.39,0.439,0.638,0.588,0.552,104.7
EFG_PCT,0.693,0.36,0.394,0.603,0.605,0.539,110.3
EFG_PCT,0.647,0.448,0.41,0.6,0.613,0.53,112.1
EFG_PCT,0.594,0.409,0.382,0.569,0.581,0.53,103.5
EFG_PCT,0.62,0.392,0.398,0.575,0.679,0.534,102.4
EFG_PCT,0.639,0.408,0.403,0.549,0.72,0.541,109.1
EFG_PCT,0.69,0.448,0.485,0.567,0.619,0.599,115.7
EFG_PCT,0.652,0.392,0.428,0.613,0.609,0.533,113.7
EFG_PCT,0.637,0.398,0.388,0.465,0.518,0.542,109.4
EFG_PCT,0.638,0.37,0.367,0.584,0.626,0.503,108.7
EFG_PCT,0.633,0.392,0.38,0.518,0.608,0.533,102.6
EFG_PCT,0.647,0.402,0.428,0.579,0.624,0.511,105.2
EFG_PCT,0.663,0.46,0.409,0.541,0.564,0.534,109.8
EFG_PCT,0.614,0.377,0.364,0.544,0.541,0.521,105.8
EFG_PCT,0.63,0.438,0.4,0.689,0.553,0.503,103.9
EFG_PCT,0.654,0.383,0.393,0.612,0.507,0.538,105.0
EFG_PCT,0.623,0.435,0.429,0.563,0.75,0.535,105.9
EFG_PCT,0.667,0.378,0.407,0.514,0.705,0.539,107.8
EFG_PCT,0.597,0.38,0.389,0.582,0.505,0.495,104.6
EFG_PCT,0.572,0.4,0.418,0.553,0.582,0.573,105.8
EFG_PCT,0.624,0.387,0.394,0.572,0.663,0.562,99.6
EFG_PCT,0.636,0.408,0.405,0.612,0.63,0.514,102.2
EFG_PCT,0.622,0.408,0.385,0.578,0.546,0.523,106.9
EFG_PCT,0.648,0.419,0.422,0.542,0.628,0.522,112.3
EFG_PCT,0.643,0.371,0.388,0.658,0.616,0.525,102.9
EFG_PCT,0.593,0.342,0.403,0.508,0.517,0.529,98.6
EFG_PCT,0.648,0.41,0.42,0.465,0.648,0.566,107.5
EFG_PCT,0.624,0.35,0.397,0.539,0.655,0.542,102.7
EFG_PCT,0.606,0.399,0.373,0.545,0.598,0.552,107.0
